groupId,userEmail,assignedAt,assignedBy
g001,thomas.leroy@contoso-lab.com,2025-11-14,claire.petit@contoso-lab.com
g001,marie.dubois@contoso-lab.com,2026-04-02,thomas.leroy@contoso-lab.com
g001,celine.roux@contoso-lab.com,2023-01-15,
g002,laurent.fabre@contoso-lab.com,2021-12-01,claire.petit@contoso-lab.com
g002,julien.moreau@contoso-lab.com,2026-05-14,claire.petit@contoso-lab.com
g002,claire.petit@contoso-lab.com,2025-09-10,claire.petit@contoso-lab.com
g003,sophie.bernard@contoso-lab.com,2025-10-02,claire.petit@contoso-lab.com
g003,celine.roux@contoso-lab.com,2022-07-25,sophie.bernard@contoso-lab.com
g004,karim.haddad@contoso-lab.com,2026-01-20,thomas.leroy@contoso-lab.com
g004,marie.dubois@contoso-lab.com,2026-06-03,karim.haddad@contoso-lab.com
g004,gregory.vasseur@contoso-lab.com,2024-05-22,claire.petit@contoso-lab.com
g005,external.partner@fabrikam-lab.com,2025-10-05,
g006,nadia.benali@contoso-lab.com,2025-06-05,thomas.leroy@contoso-lab.com
g006,pierre.girard@contoso-lab.com,2023-02-25,thomas.leroy@contoso-lab.com
g006,amine.kaddour@contoso-lab.com,2024-08-20,thomas.leroy@contoso-lab.com
g006,sarah.lemoine@contoso-lab.com,2024-12-01,thomas.leroy@contoso-lab.com
g006,david.nguyen@contoso-lab.com,2026-01-12,thomas.leroy@contoso-lab.com
g006,julien.moreau@contoso-lab.com,2023-09-10,thomas.leroy@contoso-lab.com
